timestamp,event,symbol,cash,equity,open_positions,trade_id,return_pct,pnl
2026-05-01 11:15:00,entry,MSFT,80000.0,100000.0,1,0,,
2026-05-01 11:20:00,entry,AAPL,60006.484109446814,99967.57945276592,2,1,,
2026-05-01 11:35:00,entry,GOOGL,39988.50265835946,100089.90725543676,3,2,,
2026-05-01 12:25:00,entry,META,20010.95875253546,99887.71952912,4,3,,
2026-05-01 13:10:00,entry,NVDA,43.36217604898411,99837.98288243236,5,4,,
2026-05-01 13:25:00,skip_max_positions,AMZN,43.36217604898411,100053.5695426396,5,5,,
2026-05-01 13:45:00,skip_max_positions,TSLA,43.36217604898411,99835.52432606544,5,6,,
2026-05-01 14:35:00,exit,MSFT,20068.34456320073,99650.89542931163,4,0,0.00125,24.98238715174739
2026-05-01 14:40:00,exit,AAPL,39833.73824593259,99588.99367853106,3,1,-0.01141,-228.12220782133227
2026-05-01 14:55:00,exit,GOOGL,59697.31673409969,99502.70110229866,2,2,-0.00771,-154.40296292025596
2026-05-01 15:40:00,entry,MSFT,39764.15915093443,99665.78791582631,3,7,,
2026-05-01 15:45:00,exit,META,59737.13060219218,99559.86903577043,2,3,-0.00023,-4.572454566256056
2026-05-01 15:55:00,exit,NVDA,79585.19068137684,99407.87995842108,1,4,-0.00599,-119.53649730181496
2026-05-01 15:55:00,exit,MSFT,99407.87949140955,99407.87949140955,0,7,-0.00554,-110.46877313255754
2026-05-04 10:45:00,entry,META,79526.30359312764,99407.87949140955,1,8,,
2026-05-04 12:20:00,entry,MSFT,59637.55755733873,99443.73017894455,2,9,,
2026-05-04 12:20:00,entry,TSLA,39750.24574775853,99436.55904790104,3,10,,
2026-05-04 12:45:00,entry,NVDA,19868.60593537265,99408.19906192938,4,11,,
2026-05-04 13:05:00,skip_no_cash,GOOGL,19868.60593537265,99585.30000437496,4,12,,
2026-05-04 13:25:00,skip_no_cash,AAPL,19868.60593537265,99693.21445117219,4,13,,
2026-05-04 14:05:00,exit,META,39854.3122474033,99864.13294432871,3,8,0.00524,104.13041374874592
2026-05-04 15:40:00,exit,MSFT,59582.418411364684,99752.09801559668,2,9,-0.00808,-160.6398718275268
2026-05-04 15:40:00,exit,TSLA,79671.89426255345,99752.09857788541,1,10,0.01017,202.16404160856837
2026-05-04 15:55:00,exit,NVDA,99735.4255062029,99735.4255062029,0,11,0.00915,181.89143126356794
2026-05-05 11:25:00,entry,GOOGL,79788.34040496232,99735.4255062029,1,14,,
2026-05-05 12:25:00,entry,NVDA,59854.69608793481,99668.22158513754,2,15,,
2026-05-05 13:15:00,exit,GOOGL,79630.43827777929,99475.0793353687,1,14,-0.00859,-171.34291139609195
2026-05-05 13:20:00,entry,AAPL,59735.120718058126,99476.5877986058,2,16,,
2026-05-05 13:45:00,entry,MSFT,39858.47760535749,99383.2155635032,3,17,,
2026-05-05 14:05:00,entry,TSLA,19973.232455526406,99426.22574915542,4,18,,
2026-05-05 15:25:00,entry,GOOGL,85.92378909606487,99436.54333215169,5,19,,
2026-05-05 15:25:00,skip_max_positions,META,85.92378909606487,99448.35559679153,5,20,,
2026-05-05 15:45:00,exit,NVDA,19849.557381548955,99424.38063444302,4,15,-0.00853,-170.0107245746185
2026-05-05 15:55:00,exit,AAPL,39759.58833994437,99309.8552747971,3,16,0.00074,14.713398674255586
2026-05-05 15:55:00,exit,MSFT,59660.91031131547,99309.85580642463,2,17,0.00124,24.678858670456975
2026-05-05 15:55:00,exit,TSLA,79362.97458870747,99309.85549757179,1,18,-0.00921,-183.1808724390903
2026-05-05 15:55:00,exit,GOOGL,99309.85530950336,99309.85530950336,0,19,0.003,59.572054365551594
2026-05-06 10:50:00,entry,GOOGL,79447.88424760269,99309.85530950336,1,21,,
2026-05-06 11:25:00,entry,NVDA,59599.75641002804,99240.63918787324,2,22,,
2026-05-06 11:50:00,entry,TSLA,39771.36983170113,99141.93289163455,3,23,,
2026-05-06 11:55:00,entry,AMZN,19945.803243211496,99127.83294244816,4,24,,
2026-05-06 12:30:00,entry,AAPL,61.66922087169587,99420.670111699,5,25,,
2026-05-06 13:10:00,skip_max_positions,META,61.66922087169587,99593.48264104273,5,26,,
2026-05-06 14:10:00,exit,GOOGL,19881.16066270691,99740.60252985219,4,21,-0.00214,-42.47962006546004
2026-05-06 14:20:00,skip_no_cash,MSFT,19881.16066270691,99758.42508847422,4,27,,
2026-05-06 14:45:00,exit,NVDA,39770.494935317925,99736.05283425367,3,22,0.00208,41.20643503636893
2026-05-06 15:10:00,exit,TSLA,59902.04788178439,99852.88331419202,2,23,0.01529,303.1663681395512
2026-05-06 15:15:00,exit,AMZN,79895.90625361804,99877.63605985424,1,24,0.00849,168.2917833440115
2026-05-06 15:50:00,exit,AAPL,99888.05525702276,99888.05525702276,0,25,0.00543,108.01498106492
2026-05-07 10:45:00,entry,TSLA,79910.4442056182,99888.05525702276,1,28,,
2026-05-07 10:55:00,entry,META,59969.87512535037,99702.84540133912,2,29,,
2026-05-07 10:55:00,entry,MSFT,40040.48249253926,99646.96316405557,3,30,,
2026-05-07 12:00:00,exit,TSLA,59588.984772564196,99330.93289634526,2,28,-0.02148,-429.1087713796187
2026-05-07 12:20:00,exit,META,79264.43298223893,99149.91344565566,1,29,-0.0133,-265.1208705930949
